index,data,estacao_ano,valor,valor_bimestre,valor_semestre,janela_bimestre
77,1987_5,2,2599.25,2599.25,10074.720000000001,4524.53
78,1987_6,2,2450.64,5049.889999999999,12525.36,5049.889999999999
79,1987_7,3,2254.18,2254.18,2254.18,4704.82
80,1987_8,3,2217.49,4471.67,4471.67,4471.67
81,1987_9,3,2294.09,2294.09,6765.76,4511.58
82,1987_10,4,2749.25,5043.34,9515.01,5043.34
83,1987_11,4,2945.86,2945.86,12460.87,5695.110000000001
84,1987_12,4,3067.6,6013.46,15528.470000000001,6013.46
85,1988_1,1,3999.32,3999.32,3999.32,7066.92
86,1988_2,1,5619.86,9619.18,9619.18,9619.18
87,1988_3,1,6878.7,6878.7,16497.88,12498.56
88,1988_4,2,7835.88,14714.58,24333.760000000002,14714.58
89,1988_5,2,8662.83,8662.83,32996.590000000004,16498.71
90,1988_6,2,12520.65,21183.48,45517.240000000005,21183.48
91,1988_7,3,14784.6,14784.6,14784.6,27305.25
92,1988_8,3,15723.48,30508.08,30508.08,30508.08
93,1988_9,3,22558.67,22558.67,53066.75,38282.149999999994
94,1988_10,4,28117.1,50675.77,81183.85,50675.77
95,1988_11,4,38690.88,38690.88,119874.73000000001,66807.98
96,1988_12,4,67768.1,106458.98000000001,187642.83000000002,106458.98000000001
97,1989_1,1,109.28,109.28,109.28,67877.38
98,1989_2,1,93.55,202.82999999999998,202.82999999999998,202.82999999999998
99,1989_3,1,102.98,102.98,305.81,196.53
100,1989_4,2,128.18,231.16000000000003,433.99,231.16000000000003
101,1989_5,2,160.91,160.91,594.9,289.09000000000003
102,1989_6,2,157.48,318.39,752.38,318.39
103,1989_7,3,150.57,150.57,150.57,308.04999999999995
104,1989_8,3,147.41,297.98,297.98,297.98
105,1989_9,3,198.66,198.66,496.64,346.07
106,1989_10,4,244.63,443.28999999999996,741.27,443.28999999999996
107,1989_11,4,412.2,412.2,1153.47,656.8299999999999
108,1989_12,4,598.37,1010.5699999999999,1751.8400000000001,1010.5699999999999
109,1990_1,1,1197.83,1197.83,1197.83,1796.1999999999998
110,1990_2,1,2229.4,3427.23,3427.23,3427.23
111,1990_3,1,4657.87,4657.87,8085.1,6887.27
112,1990_4,2,4569.06,9226.93,12654.16,9226.93
113,1990_5,2,4741.11,4741.11,17395.27,9310.17
114,1990_6,2,4606.12,9347.23,22001.39,9347.23
115,1990_7,3,4604.83,4604.83,4604.83,9210.95
116,1990_8,3,6110.39,10715.220000000001,10715.220000000001,10715.220000000001
117,1990_9,3,6409.4,6409.4,17124.620000000003,12519.79
118,1990_10,4,6581.29,12990.689999999999,23705.910000000003,12990.689999999999
119,1990_11,4,7043.68,7043.68,30749.590000000004,13624.970000000001
120,1990_12,4,9658.44,16702.120000000003,40408.030000000006,16702.120000000003
121,1991_1,1,11882.35,11882.35,11882.35,21540.79
122,1991_2,1,15940.37,27822.72,27822.72,27822.72
123,1991_3,1,17489.74,17489.74,45312.46000000001,33430.11
124,1991_4,2,18693.57,36183.31,64006.030000000006,36183.31
125,1991_5,2,18010.39,18010.39,82016.42000000001,36703.96
126,1991_6,2,18675.08,36685.47,100691.50000000001,36685.47
127,1991_7,3,19333.11,19333.11,19333.11,38008.19
128,1991_8,3,20145.01,39478.119999999995,39478.119999999995,39478.119999999995
129,1991_9,3,26744.61,26744.61,66222.73,46889.619999999995
130,1991_10,4,33903.0,60647.61,100125.73,60647.61
131,1991_11,4,40528.0,40528.0,140653.72999999998,74431.0
132,1991_12,4,44367.0,84895.0,185020.72999999998,84895.0
133,1992_1,1,64935.0,64935.0,64935.0,109302.0
134,1992_2,1,76055.0,140990.0,140990.0,140990.0
135,1992_3,1,98784.1,98784.1,239774.1,174839.1
136,1992_4,2,108265.68,207049.78,348039.78,207049.78
137,1992_5,2,114791.66,114791.66,462831.44000000006,223057.34
138,1992_6,2,136521.87,251313.53,599353.31,251313.53
139,1992_7,3,176592.33,176592.33,176592.33,313114.19999999995
140,1992_8,3,189123.22,365715.55,365715.55,365715.55
141,1992_9,3,259860.55,259860.55,625576.1,448983.77
142,1992_10,4,423983.74,683844.29,1049559.8399999999,683844.29
143,1992_11,4,550391.62,550391.62,1599951.46,974375.36
144,1992_12,4,867005.83,1417397.45,2466957.29,1417397.45
145,1993_1,1,970870.24,970870.24,970870.24,1837876.0699999998
